pre_state,action,reward,state
2.19444 0.723791 -2.57824 0.359905,0.813389 1.26529 1.07225 0.927317,-107.886,2.1943 0.723717 -2.54328 0.360235
2.1943 0.723717 -2.54328 0.360235,0.833653 1.22252 1.00728 0.89001,-107.853,2.19417 0.723642 -2.50779 0.360107
2.19417 0.723642 -2.50779 0.360107,0.861748 1.18994 1.00389 0.9216,-107.819,2.19406 0.723566 -2.47214 0.360071
2.19406 0.723566 -2.47214 0.360071,0.860524 1.19443 0.985158 0.902212,-107.785,2.19395 0.723489 -2.4359 0.359917
2.19395 0.723489 -2.4359 0.359917,0.839793 1.19007 1.00723 0.902363,-107.75,2.19386 0.72341 -2.39962 0.359765
2.19386 0.72341 -2.39962 0.359765,0.863553 1.17765 1.01376 0.893207,-107.715,2.19378 0.723331 -2.36314 0.359654
2.19378 0.723331 -2.36314 0.359654,0.869851 1.19264 1.01133 0.87604,-107.68,2.19372 0.723252 -2.32606 0.359558
2.19372 0.723252 -2.32606 0.359558,0.868957 1.17325 0.995309 0.906826,-107.644,2.19366 0.723171 -2.28878 0.359451
2.19366 0.723171 -2.28878 0.359451,0.886363 1.17074 1.03661 0.93025,-107.608,2.19362 0.72309 -2.25184 0.359627
2.19362 0.72309 -2.25184 0.359627,0.902645 1.17447 1.00836 0.897896,-107.572,2.19359 0.723009 -2.21437 0.359649
2.19359 0.723009 -2.21437 0.359649,0.90472 1.16477 1.0315 0.928189,-107.536,2.19358 0.722928 -2.17705 0.359829
2.19358 0.722928 -2.17705 0.359829,0.924694 1.1606 1.04943 0.938508,-107.5,2.19358 0.722846 -2.14 0.360147
2.19358 0.722846 -2.14 0.360147,0.940897 1.14302 1.01948 0.921472,-107.464,2.19359 0.722764 -2.10271 0.360273
2.19359 0.722764 -2.10271 0.360273,0.929754 1.12582 1.01574 0.943232,-107.428,2.19361 0.722683 -2.0657 0.360354
2.19361 0.722683 -2.0657 0.360354,0.918978 1.11522 1.0133 0.962661,-107.392,2.19365 0.722601 -2.02936 0.360413
2.19365 0.722601 -2.02936 0.360413,0.941939 1.07777 1.01266 0.968399,-107.357,2.1937 0.72252 -1.99383 0.360436
2.1937 0.72252 -1.99383 0.360436,0.967744 1.05636 1.04448 0.979954,-107.321,2.19376 0.72244 -1.95948 0.360622
2.19376 0.72244 -1.95948 0.360622,0.951572 1.09439 1.06371 0.977321,-107.286,2.19383 0.722359 -1.92618 0.360927
2.19383 0.722359 -1.92618 0.360927,0.953078 1.10238 1.09876 0.947682,-107.251,2.19391 0.72228 -1.89381 0.36126
2.19391 0.72228 -1.89381 0.36126,0.946628 1.08858 1.10756 1.00116,-107.216,2.19401 0.722201 -1.86319 0.361714
2.19401 0.722201 -1.86319 0.361714,0.937234 1.10851 1.11777 1.0007,-107.181,2.19411 0.722122 -1.83422 0.362203
2.19411 0.722122 -1.83422 0.362203,0.897365 1.1107 1.1093 1.01998,-107.147,2.19422 0.722044 -1.8073 0.362561
2.19422 0.722044 -1.8073 0.362561,0.914072 1.12498 1.11745 1.02464,-107.113,2.19434 0.721967 -1.78214 0.363043
2.19434 0.721967 -1.78214 0.363043,0.946145 1.11044 1.13004 1.04244,-107.079,2.19447 0.72189 -1.75879 0.363654
2.19447 0.72189 -1.75879 0.363654,0.922683 1.09138 1.14899 1.00644,-107.046,2.1946 0.721813 -1.73744 0.364011
2.1946 0.721813 -1.73744 0.364011,0.938369 1.09257 1.11827 0.988127,-107.013,2.19475 0.721738 -1.71731 0.364229
2.19475 0.721738 -1.71731 0.364229,0.938406 1.13595 1.12293 0.998351,-106.98,2.1949 0.721663 -1.69805 0.364632
2.1949 0.721663 -1.69805 0.364632,0.935227 1.15899 1.12096 0.986779,-106.947,2.19505 0.721589 -1.67928 0.365025
2.19505 0.721589 -1.67928 0.365025,0.934024 1.18295 1.10369 0.960915,-106.915,2.19521 0.721515 -1.66028 0.365318
2.19521 0.721515 -1.66028 0.365318,0.941521 1.17877 1.11868 0.983461,-106.883,2.19538 0.721442 -1.64143 0.365729
2.19538 0.721442 -1.64143 0.365729,0.935942 1.16508 1.10015 0.988777,-106.852,2.19555 0.72137 -1.62278 0.365996
2.19555 0.72137 -1.62278 0.365996,0.92733 1.18925 1.12792 1.06069,-106.82,2.19573 0.721298 -1.60522 0.366641
2.19573 0.721298 -1.60522 0.366641,0.929138 1.21594 1.13082 1.07702,-106.789,2.19592 0.721227 -1.5886 0.367402
2.19592 0.721227 -1.5886 0.367402,0.901339 1.20105 1.14844 1.03549,-106.759,2.19611 0.721157 -1.5731 0.367872
2.19611 0.721157 -1.5731 0.367872,0.890525 1.1707 1.13669 1.01015,-106.728,2.1963 0.721088 -1.55873 0.368034
2.1963 0.721088 -1.55873 0.368034,0.91618 1.18306 1.12285 0.989671,-106.698,2.1965 0.721019 -1.54469 0.368196
2.1965 0.721019 -1.54469 0.368196,0.898836 1.18499 1.10422 0.98252,-106.669,2.19671 0.720951 -1.53086 0.368202
2.19671 0.720951 -1.53086 0.368202,0.880699 1.16805 1.08879 0.991102,-106.639,2.19692 0.720883 -1.51754 0.368062
2.19692 0.720883 -1.51754 0.368062,0.888944 1.19924 1.11857 0.991958,-106.61,2.19713 0.720817 -1.50462 0.368177
2.19713 0.720817 -1.50462 0.368177,0.895403 1.20126 1.10564 0.992866,-106.582,2.19735 0.720751 -1.49187 0.36827
2.19735 0.720751 -1.49187 0.36827,0.909282 1.21011 1.10585 0.98269,-106.553,2.19757 0.720686 -1.47895 0.3684
2.19757 0.720686 -1.47895 0.3684,0.900229 1.25958 1.12777 0.997358,-106.525,2.19779 0.720622 -1.46582 0.368787
2.19779 0.720622 -1.46582 0.368787,0.877168 1.25362 1.10399 0.970618,-106.498,2.19802 0.720558 -1.45226 0.368868
2.19802 0.720558 -1.45226 0.368868,0.862433 1.26749 1.10598 0.95109,-106.471,2.19826 0.720496 -1.4381 0.368878
2.19826 0.720496 -1.4381 0.368878,0.885895 1.27096 1.13694 0.942155,-106.444,2.1985 0.720434 -1.4233 0.369058
2.1985 0.720434 -1.4233 0.369058,0.891143 1.24465 1.15733 0.934543,-106.417,2.19874 0.720373 -1.40825 0.369195
2.19874 0.720373 -1.40825 0.369195,0.892721 1.22929 1.14338 0.980556,-106.391,2.19899 0.720314 -1.39343 0.369384
2.19899 0.720314 -1.39343 0.369384,0.877485 1.22011 1.13349 1.00174,-106.366,2.19924 0.720255 -1.37921 0.369513
2.19924 0.720255 -1.37921 0.369513,0.902854 1.19099 1.10923 1.02067,-106.341,2.19949 0.720197 -1.36556 0.3696
2.19949 0.720197 -1.36556 0.3696,0.927664 1.20172 1.14008 1.0183,-106.316,2.19975 0.72014 -1.35239 0.369902
2.19975 0.72014 -1.35239 0.369902,0.937745 1.21998 1.13329 1.01026,-106.292,2.20002 0.720084 -1.33923 0.370227
2.20002 0.720084 -1.33923 0.370227,0.929644 1.19257 1.12954 1.03907,-106.268,2.20028 0.720029 -1.32672 0.370491
2.20028 0.720029 -1.32672 0.370491,0.929818 1.19061 1.11988 1.02985,-106.244,2.20055 0.719975 -1.31466 0.370662
2.20055 0.719975 -1.31466 0.370662,0.945379 1.2202 1.11089 1.02804,-106.221,2.20082 0.719921 -1.30246 0.370938
2.20082 0.719921 -1.30246 0.370938,0.930354 1.22036 1.16793 1.03545,-106.199,2.2011 0.719869 -1.29095 0.371365
2.2011 0.719869 -1.29095 0.371365,0.921885 1.24576 1.18594 1.06661,-106.176,2.20138 0.719817 -1.28046 0.371987
2.20138 0.719817 -1.28046 0.371987,0.937774 1.22813 1.18415 1.08721,-106.154,2.20166 0.719766 -1.27119 0.372619
2.20166 0.719766 -1.27119 0.372619,0.909353 1.22591 1.19789 1.07514,-106.132,2.20195 0.719715 -1.26344 0.3731
2.20195 0.719715 -1.26344 0.3731,0.922486 1.2245 1.19603 1.06961,-106.11,2.20223 0.719665 -1.25701 0.373558
2.20223 0.719665 -1.25701 0.373558,0.945067 1.24286 1.19714 1.05335,-106.089,2.20252 0.719615 -1.25127 0.374069
2.20252 0.719615 -1.25127 0.374069,0.962676 1.25444 1.16096 1.04063,-106.068,2.20281 0.719566 -1.2454 0.374471
2.20281 0.719566 -1.2454 0.374471,0.954946 1.23692 1.14699 1.06489,-106.047,2.20311 0.719518 -1.23977 0.374789
2.20311 0.719518 -1.23977 0.374789,0.976369 1.2595 1.12593 1.06584,-106.026,2.2034 0.719469 -1.23371 0.375165
2.2034 0.719469 -1.23371 0.375165,0.988324 1.24169 1.11634 1.03055,-106.005,2.2037 0.719422 -1.22681 0.375334
2.2037 0.719422 -1.22681 0.375334,0.987271 1.23652 1.11507 1.03066,-105.985,2.204 0.719375 -1.21912 0.375465
2.204 0.719375 -1.21912 0.375465,1.02188 1.22377 1.10933 1.02859,-105.965,2.2043 0.719329 -1.21036 0.375633
2.2043 0.719329 -1.21036 0.375633,1.02548 1.19498 1.11106 1.0438,-105.946,2.2046 0.719284 -1.20097 0.37576
2.2046 0.719284 -1.20097 0.37576,1.06468 1.21314 1.12482 1.03589,-105.927,2.2049 0.719239 -1.19043 0.376095
2.2049 0.719239 -1.19043 0.376095,1.02816 1.25256 1.12817 1.04137,-105.908,2.20521 0.719195 -1.17883 0.376445
2.20521 0.719195 -1.17883 0.376445,1.03819 1.28232 1.12781 1.05419,-105.889,2.20552 0.719153 -1.16589 0.376947
2.20552 0.719153 -1.16589 0.376947,1.02375 1.27666 1.1381 1.03862,-105.872,2.20584 0.719111 -1.1518 0.377321
2.20584 0.719111 -1.1518 0.377321,1.05025 1.33423 1.11268 1.03245,-105.854,2.20616 0.719071 -1.13537 0.377847
2.20616 0.719071 -1.13537 0.377847,1.06056 1.34985 1.08759 1.02905,-105.838,2.20648 0.719033 -1.11609 0.378322
2.20648 0.719033 -1.11609 0.378322,1.06419 1.32883 1.08964 1.01568,-105.822,2.2068 0.718996 -1.09413 0.378659
2.2068 0.718996 -1.09413 0.378659,1.04893 1.32533 1.08713 1.01658,-105.807,2.20713 0.718962 -1.06976 0.378898
2.20713 0.718962 -1.06976 0.378898,1.06269 1.29023 1.08979 1.00758,-105.793,2.20747 0.718929 -1.04325 0.379022
2.20747 0.718929 -1.04325 0.379022,1.06171 1.27829 1.07453 1.0021,-105.781,2.2078 0.7189 -1.01462 0.379019
2.2078 0.7189 -1.01462 0.379019,1.08204 1.27335 1.11969 0.994935,-105.769,2.20814 0.718873 -0.984213 0.379201
2.20814 0.718873 -0.984213 0.379201,1.06707 1.27556 1.12051 0.998649,-105.758,2.20849 0.718848 -0.952309 0.37934
2.20849 0.718848 -0.952309 0.37934,1.08675 1.29423 1.11525 0.998129,-105.749,2.20884 0.718827 -0.918531 0.379581
2.20884 0.718827 -0.918531 0.379581,1.09147 1.30042 1.1143 1.04926,-105.741,2.20919 0.718809 -0.883407 0.380014
2.20919 0.718809 -0.883407 0.380014,1.0864 1.29715 1.12133 1.04932,-105.735,2.20955 0.718794 -0.847185 0.380408
2.20955 0.718794 -0.847185 0.380408,1.09586 1.2684 1.13598 1.07199,-105.73,2.2099 0.718782 -0.810537 0.380833
2.2099 0.718782 -0.810537 0.380833,1.11452 1.24239 1.13009 1.08311,-105.726,2.21026 0.718774 -0.773622 0.381215
2.21026 0.718774 -0.773622 0.381215,1.1198 1.18077 1.14726 1.08815,-105.724,2.21062 0.718769 -0.737289 0.381448
2.21062 0.718769 -0.737289 0.381448,1.11545 1.20732 1.11659 1.06003,-105.723,2.21098 0.718767 -0.700642 0.381536
2.21098 0.718767 -0.700642 0.381536,1.06733 1.19983 1.12551 1.03343,-105.724,2.21134 0.718768 -0.664104 0.381362
2.21134 0.718768 -0.664104 0.381362,1.05997 1.15002 1.14543 1.03948,-105.726,2.2117 0.718773 -0.628544 0.381094
2.2117 0.718773 -0.628544 0.381094,1.04866 1.16897 1.13825 1.06231,-105.729,2.21206 0.718781 -0.593979 0.380928
2.21206 0.718781 -0.593979 0.380928,1.0402 1.19216 1.14364 1.04242,-105.734,2.21242 0.718791 -0.560039 0.380777
2.21242 0.718791 -0.560039 0.380777,1.06772 1.17212 1.12914 1.02141,-105.74,2.21278 0.718805 -0.526228 0.380541
2.21278 0.718805 -0.526228 0.380541,1.08439 1.17346 1.15808 0.984924,-105.747,2.21313 0.718822 -0.49227 0.38036
2.21313 0.718822 -0.49227 0.38036,1.07449 1.19738 1.12439 0.986241,-105.756,2.21348 0.718842 -0.457685 0.380131
2.21348 0.718842 -0.457685 0.380131,1.08257 1.20199 1.1787 0.985437,-105.765,2.21383 0.718864 -0.422943 0.380149
2.21383 0.718864 -0.422943 0.380149,1.07943 1.20585 1.1615 0.9795,-105.776,2.21417 0.71889 -0.387802 0.380089
2.21417 0.71889 -0.387802 0.380089,1.09545 1.19817 1.22324 0.996605,-105.789,2.21451 0.718919 -0.353033 0.380335
2.21451 0.718919 -0.353033 0.380335,1.09083 1.20562 1.24573 1.05774,-105.802,2.21485 0.71895 -0.319462 0.380861
2.21485 0.71895 -0.319462 0.380861,1.09831 1.18066 1.28781 1.06491,-105.817,2.21518 0.718984 -0.287717 0.381455
2.21518 0.718984 -0.287717 0.381455,1.05754 1.17609 1.29048 1.05783,-105.832,2.21551 0.71902 -0.258119 0.381828
2.21551 0.71902 -0.258119 0.381828,1.05946 1.19092 1.26733 1.05965,-105.849,2.21584 0.719059 -0.230143 0.382155
2.21584 0.719059 -0.230143 0.382155,1.05435 1.18183 1.26052 1.06327,-105.866,2.21616 0.719099 -0.203819 0.382395
2.21616 0.719099 -0.203819 0.382395,1.0809 1.20398 1.28647 1.07747,-105.885,2.21648 0.719142 -0.178974 0.382923
2.21648 0.719142 -0.178974 0.382923,1.09585 1.19768 1.2978 1.05736,-105.904,2.21679 0.719186 -0.155352 0.383408
2.21679 0.719186 -0.155352 0.383408,1.06104 1.16524 1.28808 1.06367,-105.924,2.2171 0.719232 -0.133572 0.383608
2.2171 0.719232 -0.133572 0.383608,1.06942 1.15828 1.2847 1.05478,-105.944,2.21741 0.719279 -0.113412 0.383754
2.21741 0.719279 -0.113412 0.383754,1.10379 1.18474 1.29659 1.02248,-105.965,2.21771 0.719328 -0.0939525 0.384029
2.21771 0.719328 -0.0939525 0.384029,1.08123 1.20296 1.34179 1.03438,-105.987,2.21801 0.719378 -0.0758147 0.384463
2.21801 0.719378 -0.0758147 0.384463,1.07779 1.19549 1.3474 1.04639,-106.009,2.21831 0.719429 -0.0592534 0.384886
2.21831 0.719429 -0.0592534 0.384886,1.06862 1.19318 1.36139 1.06904,-106.031,2.21861 0.719481 -0.0447254 0.385361
2.21861 0.719481 -0.0447254 0.385361,1.069 1.18928 1.39235 1.0877,-106.054,2.2189 0.719535 -0.0327318 0.385957
2.2189 0.719535 -0.0327318 0.385957,1.04179 1.20646 1.37588 1.1196,-106.077,2.21919 0.719588 -0.0234786 0.386523
2.21919 0.719588 -0.0234786 0.386523,1.04804 1.17264 1.41161 1.12465,-106.101,2.21948 0.719642 -0.0176325 0.387087
2.21948 0.719642 -0.0176325 0.387087,1.04799 1.18888 1.4133 1.12701,-106.124,2.21977 0.719697 -0.0150175 0.387676
2.21977 0.719697 -0.0150175 0.387676,1.05192 1.18885 1.42284 1.13764,-106.148,2.22006 0.719751 -0.0157797 0.388299
2.22006 0.719751 -0.0157797 0.388299,1.06933 1.19932 1.44062 1.15235,-106.171,2.22036 0.719805 -0.0199608 0.38908
2.22036 0.719805 -0.0199608 0.38908,1.10408 1.21847 1.41859 1.13234,-106.194,2.22065 0.719858 -0.0265335 0.389838
2.22065 0.719858 -0.0265335 0.389838,1.07864 1.2682 1.38323 1.1353,-106.217,2.22095 0.719911 -0.0348762 0.390504
2.22095 0.719911 -0.0348762 0.390504,1.07633 1.2388 1.37642 1.13211,-106.239,2.22125 0.719963 -0.0451933 0.39097
2.22125 0.719963 -0.0451933 0.39097,1.09868 1.20901 1.38963 1.14011,-106.262,2.22156 0.720014 -0.0577526 0.391445
2.22156 0.720014 -0.0577526 0.391445,1.09153 1.18119 1.39077 1.14683,-106.283,2.22186 0.720064 -0.0729578 0.391787
2.22186 0.720064 -0.0729578 0.391787,1.05985 1.18705 1.3994 1.11127,-106.304,2.22217 0.720113 -0.090729 0.391917
2.22217 0.720113 -0.090729 0.391917,1.08842 1.20466 1.40103 1.12458,-106.325,2.22249 0.72016 -0.110658 0.392248
2.22249 0.72016 -0.110658 0.392248,1.12584 1.2457 1.4232 1.16881,-106.344,2.22281 0.720205 -0.132542 0.393054
2.22281 0.720205 -0.132542 0.393054,1.12141 1.25132 1.44953 1.17423,-106.363,2.22314 0.720248 -0.156627 0.393907
2.22314 0.720248 -0.156627 0.393907,1.09321 1.22696 1.44768 1.17741,-106.381,2.22347 0.72029 -0.183388 0.39451
2.22347 0.72029 -0.183388 0.39451,1.06968 1.23076 1.44775 1.21317,-106.398,2.2238 0.720328 -0.213283 0.395118
2.2238 0.720328 -0.213283 0.395118,1.09461 1.26481 1.45763 1.16365,-106.413,2.22414 0.720364 -0.245107 0.395743
2.22414 0.720364 -0.245107 0.395743,1.06481 1.29842 1.4501 1.14369,-106.428,2.22449 0.720398 -0.278421 0.396232
2.22449 0.720398 -0.278421 0.396232,1.05948 1.30102 1.43638 1.13517,-106.441,2.22484 0.720428 -0.312927 0.396594
2.22484 0.720428 -0.312927 0.396594,1.03674 1.30739 1.38902 1.12303,-106.453,2.2252 0.720455 -0.348095 0.396662
2.2252 0.720455 -0.348095 0.396662,1.04494 1.28624 1.35838 1.0919,-106.464,2.22556 0.72048 -0.383369 0.396465
2.22556 0.72048 -0.383369 0.396465,1.0692 1.29417 1.32294 1.09514,-106.473,2.22592 0.720501 -0.418062 0.396285
2.22592 0.720501 -0.418062 0.396285,1.08003 1.29453 1.31325 1.07895,-106.481,2.22628 0.720519 -0.451822 0.396069
2.22628 0.720519 -0.451822 0.396069,1.07115 1.2944 1.31062 1.08029,-106.487,2.22665 0.720534 -0.484788 0.395836
2.22665 0.720534 -0.484788 0.395836,1.05569 1.27805 1.32599 1.03063,-106.493,2.22702 0.720547 -0.516985 0.395393
2.22702 0.720547 -0.516985 0.395393,1.047 1.27275 1.3343 1.01065,-106.497,2.22739 0.720556 -0.548483 0.394898
2.22739 0.720556 -0.548483 0.394898,1.0366 1.24337 1.36989 1.03383,-106.5,2.22776 0.720563 -0.580363 0.394511
2.22776 0.720563 -0.580363 0.394511,1.02365 1.24242 1.34187 1.04605,-106.501,2.22812 0.720566 -0.612582 0.394054
2.22812 0.720566 -0.612582 0.394054,1.01467 1.22173 1.35243 1.07947,-106.501,2.22849 0.720567 -0.645896 0.393685
2.22849 0.720567 -0.645896 0.393685,1.02808 1.24496 1.32958 1.07528,-106.5,2.22886 0.720564 -0.679568 0.39338
2.22886 0.720564 -0.679568 0.39338,1.01722 1.24322 1.34144 1.10508,-106.498,2.22923 0.720559 -0.714147 0.393201
2.22923 0.720559 -0.714147 0.393201,0.983256 1.24939 1.33532 1.12615,-106.494,2.2296 0.72055 -0.750026 0.392993
2.2296 0.72055 -0.750026 0.392993,1.01432 1.2193 1.36268 1.14875,-106.489,2.22996 0.720538 -0.787636 0.392979
2.22996 0.720538 -0.787636 0.392979,0.990395 1.2596 1.36095 1.12402,-106.482,2.23033 0.720522 -0.826409 0.392931
2.23033 0.720522 -0.826409 0.392931,1.00772 1.23027 1.32603 1.10293,-106.474,2.23069 0.720503 -0.865795 0.392651
2.23069 0.720503 -0.865795 0.392651,1.01997 1.24839 1.33893 1.10633,-106.464,2.23105 0.720481 -0.905604 0.392556
2.23105 0.720481 -0.905604 0.392556,1.02481 1.25431 1.34548 1.09796,-106.453,2.2314 0.720455 -0.945672 0.392501
2.2314 0.720455 -0.945672 0.392501,1.01562 1.24448 1.31286 1.11628,-106.44,2.23175 0.720425 -0.986028 0.392334
2.23175 0.720425 -0.986028 0.392334,1.00787 1.299 1.32673 1.11305,-106.426,2.23209 0.720393 -1.02627 0.392381
2.23209 0.720393 -1.02627 0.392381,1.01479 1.2959 1.33441 1.12027,-106.41,2.23243 0.720357 -1.06652 0.392488
2.23243 0.720357 -1.06652 0.392488,1.0337 1.27759 1.35491 1.17014,-106.393,2.23276 0.720317 -1.10752 0.392833
2.23276 0.720317 -1.10752 0.392833,1.04331 1.26312 1.36751 1.18463,-106.374,2.23309 0.720275 -1.14955 0.393226
2.23309 0.720275 -1.14955 0.393226,1.05209 1.22408 1.38253 1.2017,-106.354,2.23341 0.720228 -1.19318 0.393592
2.23341 0.720228 -1.19318 0.393592,1.03976 1.26631 1.38223 1.18102,-106.333,2.23372 0.720179 -1.23776 0.393959
2.23372 0.720179 -1.23776 0.393959,1.06979 1.27392 1.36307 1.17556,-106.31,2.23402 0.720126 -1.28253 0.394339
2.23402 0.720126 -1.28253 0.394339,1.06929 1.26146 1.35098 1.17299,-106.285,2.23431 0.720069 -1.32749 0.394593
2.23431 0.720069 -1.32749 0.394593,1.07228 1.26634 1.32354 1.15517,-106.26,2.23459 0.72001 -1.37203 0.394695
2.23459 0.72001 -1.37203 0.394695,1.10323 1.28394 1.32837 1.16608,-106.233,2.23486 0.719947 -1.41587 0.395011
2.23486 0.719947 -1.41587 0.395011,1.07217 1.32592 1.34988 1.10159,-106.204,2.23512 0.719882 -1.45848 0.39519
2.23512 0.719882 -1.45848 0.39519,1.0532 1.29742 1.35527 1.12148,-106.175,2.23537 0.719814 -1.50073 0.395276
2.23537 0.719814 -1.50073 0.395276,1.05018 1.2963 1.3374 1.11483,-106.145,2.23561 0.719744 -1.54243 0.395256
2.23561 0.719744 -1.54243 0.395256,1.0346 1.28806 1.32967 1.10939,-106.113,2.23583 0.719671 -1.58374 0.39511
2.23583 0.719671 -1.58374 0.39511,1.01392 1.30316 1.31386 1.10936,-106.081,2.23605 0.719596 -1.62459 0.394901
2.23605 0.719596 -1.62459 0.394901,1.01484 1.28124 1.32011 1.1438,-106.047,2.23625 0.719519 -1.66565 0.394779
2.23625 0.719519 -1.66565 0.394779,1.03789 1.27946 1.33073 1.14246,-106.013,2.23644 0.71944 -1.70679 0.394772
2.23644 0.71944 -1.70679 0.394772,1.02949 1.28399 1.33548 1.14838,-105.979,2.23661 0.719359 -1.74814 0.39479
2.23661 0.719359 -1.74814 0.39479,1.03813 1.29066 1.34172 1.13626,-105.943,2.23677 0.719277 -1.78948 0.394839
2.23677 0.719277 -1.78948 0.394839,1.0121 1.31457 1.33879 1.12234,-105.907,2.23692 0.719193 -1.83065 0.394818
2.23692 0.719193 -1.83065 0.394818,1.02161 1.29703 1.37386 1.12615,-105.87,2.23705 0.719107 -1.87216 0.394906
2.23705 0.719107 -1.87216 0.394906,1.05447 1.29256 1.38233 1.13281,-105.832,2.23717 0.71902 -1.91383 0.395137
2.23717 0.71902 -1.91383 0.395137,1.0515 1.28696 1.42441 1.11115,-105.794,2.23728 0.718932 -1.95597 0.39539
2.23728 0.718932 -1.95597 0.39539,1.06723 1.31664 1.42392 1.09188,-105.756,2.23737 0.718843 -1.99784 0.39571
2.23737 0.718843 -1.99784 0.39571,1.06 1.33292 1.42488 1.08192,-105.717,2.23744 0.718752 -2.03929 0.396004
2.23744 0.718752 -2.03929 0.396004,1.05727 1.35118 1.46123 1.08423,-105.678,2.2375 0.718661 -2.08058 0.396461
2.2375 0.718661 -2.08058 0.396461,1.06094 1.37026 1.46483 1.08295,-105.639,2.23754 0.718569 -2.12151 0.396966
2.23754 0.718569 -2.12151 0.396966,1.06168 1.36728 1.435 1.07544,-105.599,2.23757 0.718477 -2.16175 0.397291
2.23757 0.718477 -2.16175 0.397291,1.06223 1.3714 1.42199 1.0722,-105.559,2.23758 0.718384 -2.20111 0.397548
2.23758 0.718384 -2.20111 0.397548,1.0618 1.36689 1.40024 1.06803,-105.519,2.23758 0.718291 -2.23946 0.397677
2.23758 0.718291 -2.23946 0.397677,1.06729 1.3728 1.39645 1.0695,-105.48,2.23756 0.718199 -2.2767 0.397826
2.23756 0.718199 -2.2767 0.397826,1.06263 1.35019 1.39459 1.10765,-105.44,2.23753 0.718106 -2.3136 0.397994
2.23753 0.718106 -2.3136 0.397994,1.04045 1.33891 1.41439 1.12597,-105.4,2.23749 0.718013 -2.35093 0.398163
2.23749 0.718013 -2.35093 0.398163,1.04977 1.34094 1.4266 1.10458,-105.361,2.23743 0.717921 -2.38845 0.398326
2.23743 0.717921 -2.38845 0.398326,1.07956 1.3457 1.41302 1.05713,-105.322,2.23736 0.71783 -2.42513 0.398384
2.23736 0.71783 -2.42513 0.398384,1.06347 1.3373 1.40886 1.0635,-105.283,2.23727 0.717739 -2.46131 0.398359
2.23727 0.717739 -2.46131 0.398359,1.03744 1.35392 1.40188 1.05988,-105.245,2.23717 0.717649 -2.49702 0.398266
2.23717 0.717649 -2.49702 0.398266,1.04575 1.35692 1.43767 1.03429,-105.207,2.23706 0.71756 -2.53227 0.398257
2.23706 0.71756 -2.53227 0.398257,1.07627 1.36872 1.40379 1.03446,-105.169,2.23694 0.717471 -2.56629 0.398278
2.23694 0.717471 -2.56629 0.398278,1.08625 1.36262 1.41192 1.02508,-105.132,2.2368 0.717384 -2.59911 0.398306
2.2368 0.717384 -2.59911 0.398306,1.07199 1.35491 1.38651 1.0081,-105.095,2.23665 0.717298 -2.63059 0.398109
2.23665 0.717298 -2.63059 0.398109,1.0822 1.35424 1.39498 1.01163,-105.059,2.23649 0.717213 -2.66084 0.398003
2.23649 0.717213 -2.66084 0.398003,1.07336 1.34114 1.42023 0.982787,-105.024,2.23632 0.717129 -2.69011 0.397817
2.23632 0.717129 -2.69011 0.397817,1.08581 1.35315 1.40394 0.950996,-104.989,2.23615 0.717047 -2.71769 0.397566
2.23615 0.717047 -2.71769 0.397566,1.0958 1.36517 1.42868 0.934766,-104.954,2.23596 0.716966 -2.74355 0.397441
2.23596 0.716966 -2.74355 0.397441,1.11121 1.36469 1.43066 0.93752,-104.92,2.23576 0.716886 -2.76764 0.397396
2.23576 0.716886 -2.76764 0.397396,1.08065 1.40077 1.44507 0.957166,-104.887,2.23555 0.716807 -2.79036 0.397491
2.23555 0.716807 -2.79036 0.397491,1.06714 1.40471 1.46753 0.981357,-104.854,2.23534 0.71673 -2.81236 0.397707
2.23534 0.71673 -2.81236 0.397707,1.06618 1.38236 1.48162 0.985358,-104.821,2.23512 0.716653 -2.8341 0.397886
2.23512 0.716653 -2.8341 0.397886,1.08745 1.3721 1.51696 0.967001,-104.79,2.23489 0.716578 -2.85565 0.398148
2.23489 0.716578 -2.85565 0.398148,1.07611 1.39419 1.49917 0.951857,-104.758,2.23466 0.716504 -2.87658 0.39831
2.23466 0.716504 -2.87658 0.39831,1.09531 1.39197 1.48612 0.93769,-104.727,2.23442 0.716431 -2.89642 0.398423
2.23442 0.716431 -2.89642 0.398423,1.1485 1.36807 1.5116 0.981457,-104.697,2.23417 0.71636 -2.91566 0.398868
2.23417 0.71636 -2.91566 0.398868,1.13298 1.38942 1.47565 1.00245,-104.667,2.23391 0.716289 -2.93408 0.399244
2.23391 0.716289 -2.93408 0.399244,1.13672 1.35683 1.48903 1.00597,-104.638,2.23365 0.71622 -2.9522 0.399546
2.23365 0.71622 -2.9522 0.399546,1.10952 1.39531 1.47819 1.01329,-104.61,2.23339 0.716152 -2.96987 0.399849
2.23339 0.716152 -2.96987 0.399849,1.11116 1.38898 1.4775 1.01126,-104.581,2.23311 0.716086 -2.98714 0.400101
2.23311 0.716086 -2.98714 0.400101,1.13097 1.38336 1.45637 1.03554,-104.554,2.23284 0.71602 -3.00389 0.400391
2.23284 0.71602 -3.00389 0.400391,1.11407 1.42113 1.42666 1.04762,-104.527,2.23255 0.715956 -3.01973 0.400668
2.23255 0.715956 -3.01973 0.400668,1.1001 1.39061 1.43718 1.05884,-104.5,2.23227 0.715892 -3.0354 0.400842
