pre_state,action,reward,state
2.19656 0.701356 -2.952 0.389184,1.29538 1.02821 1.07465 1.18187,-98.6227,2.19628 0.701286 -2.95907 0.388916
2.19628 0.701286 -2.95907 0.388916,1.25537 1.04455 1.09816 1.20862,-98.596,2.19599 0.701217 -2.96617 0.388762
2.19599 0.701217 -2.96617 0.388762,1.25967 1.03792 1.09001 1.22586,-98.5695,2.1957 0.701148 -2.97342 0.388644
2.1957 0.701148 -2.97342 0.388644,1.24293 1.0319 1.09438 1.23532,-98.5434,2.19541 0.70108 -2.98119 0.388505
2.19541 0.70108 -2.98119 0.388505,1.25076 1.02882 1.07052 1.20198,-98.5175,2.19512 0.701012 -2.98883 0.388196
2.19512 0.701012 -2.98883 0.388196,1.2589 1.05097 1.10291 1.19096,-98.4918,2.19482 0.700945 -2.99625 0.388091
2.19482 0.700945 -2.99625 0.388091,1.29926 1.07911 1.05065 1.19301,-98.4663,2.19452 0.700879 -3.0022 0.388059
2.19452 0.700879 -3.0022 0.388059,1.30814 1.04178 1.05019 1.19661,-98.4411,2.19422 0.700813 -3.00703 0.387941
2.19422 0.700813 -3.00703 0.387941,1.32295 1.03197 1.05184 1.16332,-98.416,2.19392 0.700747 -3.01036 0.387741
2.19392 0.700747 -3.01036 0.387741,1.30512 1.01138 1.03651 1.14243,-98.391,2.19362 0.700682 -3.01223 0.387298
2.19362 0.700682 -3.01223 0.387298,1.3068 0.981538 1.02468 1.1488,-98.3662,2.19332 0.700617 -3.01289 0.386776
2.19332 0.700617 -3.01289 0.386776,1.32922 0.959121 1.06144 1.133,-98.3414,2.19302 0.700552 -3.01256 0.386369
2.19302 0.700552 -3.01256 0.386369,1.33056 0.944334 1.07619 1.11115,-98.3167,2.19271 0.700488 -3.0113 0.385925
2.19271 0.700488 -3.0113 0.385925,1.31356 0.953188 1.06757 1.11342,-98.2921,2.19241 0.700424 -3.00915 0.385467
2.19241 0.700424 -3.00915 0.385467,1.30742 0.959148 1.06401 1.09368,-98.2675,2.19211 0.700359 -3.00584 0.384965
2.19211 0.700359 -3.00584 0.384965,1.29294 0.963893 1.03995 1.12096,-98.2429,2.19181 0.700295 -3.00154 0.384482
2.19181 0.700295 -3.00154 0.384482,1.30705 0.952284 1.04731 1.1167,-98.2182,2.19151 0.70023 -2.99625 0.384058
2.19151 0.70023 -2.99625 0.384058,1.30445 0.925313 1.04881 1.12728,-98.1935,2.19121 0.700165 -2.99042 0.383608
2.19121 0.700165 -2.99042 0.383608,1.34384 0.919241 1.04103 1.10773,-98.1687,2.19091 0.7001 -2.98342 0.383215
2.19091 0.7001 -2.98342 0.383215,1.31765 0.919737 1.0769 1.09382,-98.1437,2.19061 0.700035 -2.97575 0.382842
2.19061 0.700035 -2.97575 0.382842,1.32993 0.897566 1.05169 1.13411,-98.1187,2.19031 0.699969 -2.96771 0.382517
2.19031 0.699969 -2.96771 0.382517,1.30404 0.885262 1.04667 1.11002,-98.0935,2.19002 0.699903 -2.95938 0.381986
2.19002 0.699903 -2.95938 0.381986,1.30138 0.886239 1.04662 1.10903,-98.0682,2.18972 0.699836 -2.95078 0.381488
2.18972 0.699836 -2.95078 0.381488,1.31312 0.885663 1.06925 1.13482,-98.0428,2.18943 0.69977 -2.9423 0.381237
2.18943 0.69977 -2.9423 0.381237,1.33101 0.911777 1.07721 1.12773,-98.0172,2.18914 0.699702 -2.93349 0.381163
2.18914 0.699702 -2.93349 0.381163,1.30984 0.930115 1.08378 1.11614,-97.9914,2.18885 0.699635 -2.92433 0.381067
2.18885 0.699635 -2.92433 0.381067,1.29625 0.944361 1.09289 1.11445,-97.9655,2.18857 0.699566 -2.91489 0.381007
2.18857 0.699566 -2.91489 0.381007,1.3295 0.923779 1.07805 1.13814,-97.9393,2.18828 0.699498 -2.90515 0.381026
2.18828 0.699498 -2.90515 0.381026,1.31543 0.888209 1.07356 1.16877,-97.913,2.188 0.699428 -2.89591 0.380963
2.188 0.699428 -2.89591 0.380963,1.32415 0.933345 1.04763 1.15818,-97.8865,2.18771 0.699358 -2.8862 0.380964
2.18771 0.699358 -2.8862 0.380964,1.36437 0.950664 1.04246 1.14155,-97.8597,2.18743 0.699288 -2.87519 0.38109
2.18743 0.699288 -2.87519 0.38109,1.34924 0.937122 1.04469 1.11824,-97.8326,2.18716 0.699216 -2.863 0.381032
2.18716 0.699216 -2.863 0.381032,1.30801 0.9002 1.03518 1.11588,-97.8053,2.18688 0.699144 -2.85034 0.380668
2.18688 0.699144 -2.85034 0.380668,1.28814 0.895395 1.02393 1.12719,-97.7778,2.18661 0.699072 -2.83749 0.380247
2.18661 0.699072 -2.83749 0.380247,1.31239 0.879036 1.0046 1.12809,-97.75,2.18634 0.698998 -2.82418 0.379824
2.18634 0.698998 -2.82418 0.379824,1.33607 0.90627 1.02263 1.15714,-97.7219,2.18607 0.698924 -2.81037 0.379775
2.18607 0.698924 -2.81037 0.379775,1.33298 0.892059 1.01498 1.16363,-97.6935,2.18581 0.698849 -2.79625 0.379667
2.18581 0.698849 -2.79625 0.379667,1.35764 0.891368 1.03996 1.17783,-97.6647,2.18555 0.698773 -2.78198 0.379786
2.18555 0.698773 -2.78198 0.379786,1.4049 0.91065 1.04453 1.19721,-97.6357,2.1853 0.698696 -2.76712 0.380209
2.1853 0.698696 -2.76712 0.380209,1.38779 0.873783 1.06464 1.17958,-97.6062,2.18505 0.698618 -2.75229 0.380419
2.18505 0.698618 -2.75229 0.380419,1.35633 0.878694 1.0593 1.18584,-97.5765,2.1848 0.69854 -2.73777 0.380523
2.1848 0.69854 -2.73777 0.380523,1.35781 0.918389 1.07634 1.19485,-97.5465,2.18455 0.69846 -2.72339 0.380852
2.18455 0.69846 -2.72339 0.380852,1.39244 0.946276 1.08197 1.1815,-97.5161,2.18431 0.69838 -2.70841 0.381344
2.18431 0.69838 -2.70841 0.381344,1.39234 0.950571 1.06339 1.15309,-97.4854,2.18407 0.698298 -2.69231 0.381648
2.18407 0.698298 -2.69231 0.381648,1.38651 0.983247 1.06605 1.16848,-97.4543,2.18384 0.698216 -2.67502 0.382083
2.18384 0.698216 -2.67502 0.382083,1.35919 0.975114 1.06813 1.17535,-97.4228,2.18361 0.698132 -2.65706 0.38239
2.18361 0.698132 -2.65706 0.38239,1.3758 0.943211 1.07248 1.15587,-97.3909,2.18338 0.698047 -2.63843 0.382567
2.18338 0.698047 -2.63843 0.382567,1.36765 0.967208 1.04158 1.12201,-97.3586,2.18316 0.697961 -2.61833 0.38256
2.18316 0.697961 -2.61833 0.38256,1.4002 0.966803 1.04081 1.13445,-97.3258,2.18295 0.697874 -2.59658 0.382705
2.18295 0.697874 -2.59658 0.382705,1.36774 1.00235 1.04371 1.14298,-97.2926,2.18275 0.697786 -2.57333 0.382889
2.18275 0.697786 -2.57333 0.382889,1.36708 0.996825 1.01074 1.13812,-97.259,2.18255 0.697697 -2.54832 0.382906
2.18255 0.697697 -2.54832 0.382906,1.40966 0.973859 0.994932 1.14025,-97.2248,2.18236 0.697606 -2.52127 0.382941
2.18236 0.697606 -2.52127 0.382941,1.44995 0.938419 0.96022 1.13481,-97.1902,2.18218 0.697513 -2.49182 0.382851
2.18218 0.697513 -2.49182 0.382851,1.41403 0.90827 0.969482 1.11811,-97.1551,2.18201 0.69742 -2.46069 0.382514
2.18201 0.69742 -2.46069 0.382514,1.43717 0.918791 0.966875 1.13084,-97.1195,2.18186 0.697325 -2.42774 0.382356
